Centro de Custo,ID do contratado,Nome,Valor do Salário,Data da Admissão,Data da Rescisão,,Dia,01/01/2024,,,,,,,,Avos,Anos,Ano,Dias aviso,,,,,Saldo salário,13º Salário Rescisão,13º Salário Rescisão Proj Aviso Prévio ,Aviso Prévio Indenizado,Férias Indenizadas,Férias Indenizadas 1/3 ,Avos férias,Férias Proporcionais,Férias Proporcionais 1/3 ,Férias Projeção Aviso Prévio,Férias Projeção Aviso Prévio 1/3 ,Multa FGTS,,,,,,,Valor aproximado saldo de FGTS,Valor FGTS Rescisão,Encargos,Valores provisionados,Custos não provisionados,Total
,,Colaborador 5 anos,2000,22/01/2021,01/02/2026,18/03/2026,1,"25,4",25,"61,2",61,"26,9",27,"62,7",63,60,"5,03013698630137",5,45,45,"166,666666666667","333,333333333333",500,"66,6666666666667","4166,66666666667","333,333333333334",3000,2000,"666,666666666667",0,0,0,"333,333333333334","111,111111111111","5189,86666666667","61,2","5,1",5,"1,65","67,85",160,10856,"605,333333333333",1370,"6833,33333333333","10404,3111111111","17237,6444444444"
,,Colaborador 15 anos,2000,22/01/2011,01/02/2026,17/04/2026,1,"25,4",25,"182,966666666667",183,"27,9",28,"185,466666666667",185,180,"15,0383561643836",15,75,75,"166,666666666667","333,333333333333",500,"66,6666666666667","4166,66666666667",500,5000,2000,"666,666666666667",0,0,0,500,"166,666666666667","14076,8","182,966666666667","15,2472222222222",15,"4,95","202,916666666667",160,"32466,6666666667","778,666666666667",1420,"6833,33333333333","21730,1333333333","28563,4666666667"
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,29/01/1900,30,"-1509,73333333333",-1510,0,0,"-1508,73333333333",-1509,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
